song,link
周传雄 - 黄昏,https://pan.quark.cn/s/f8395f7d5fe1
张敬轩 - 断点,https://pan.quark.cn/s/715de5dc7fbe
陈冠蒲 - 太多,https://pan.quark.cn/s/21d2c56dfb4c
杨丞琳 - 暧昧,https://pan.quark.cn/s/6f353e9b2005
刘允乐 - 太早,https://pan.quark.cn/s/02861bbfb4c8
任贤齐 - 天涯,https://pan.quark.cn/s/3b5b87cdcb9c
陈奕迅 - 浮夸,https://pan.quark.cn/s/fa82cc60d9a6
徐怀钰 - 分飞,https://pan.quark.cn/s/bcfeca7c4407
许绍洋 - 花香,https://pan.quark.cn/s/8b115b8f0dc1
杨丞琳 - 雨爱,https://pan.quark.cn/s/ed26e25be9b9
张芸京 - 偏爱,https://pan.quark.cn/s/9b7760c5f9e2
徐怀钰 - 踏浪,https://pan.quark.cn/s/0e6662a14767
周迅 - 飘摇,https://pan.quark.cn/s/e5d433d7f622
张翰 - 拾忆,https://pan.quark.cn/s/fa9ca9ba588c
林俊杰 - 曹操,https://pan.quark.cn/s/6c76cf810c80
黄品源 - 小薇,https://pan.quark.cn/s/bb848cd15cf9
安琥 - 拂袖,https://pan.quark.cn/s/7eca3ee8a3fe
光良 - 童话,https://pan.quark.cn/s/74f872596549
刘若英 - 后来,https://pan.quark.cn/s/1dd2bbbc1422
黄征/羽·泉 - 奔跑,https://pan.quark.cn/s/14ae89dbcc11
黄品源 - 海浪,https://pan.quark.cn/s/2db779eb360d
顾峰/斯琴高丽 - 犯错,https://pan.quark.cn/s/fa7a19bda797
李翊君 - 雨蝶,https://pan.quark.cn/s/520fc687b0cb
许嵩 - 城府,https://pan.quark.cn/s/1e210597b86f
孙燕姿 - 遇见,https://pan.quark.cn/s/74d309ca3587
胡彦斌 - 红颜,https://pan.quark.cn/s/6f21314575fb
方泂 - 坏人,https://pan.quark.cn/s/70307498db0d
张震岳 - 再见,https://pan.quark.cn/s/cd0ed887a285
梁静茹 - 勇气,https://pan.quark.cn/s/7ef6718fa97c
刀郎 - 情人,https://pan.quark.cn/s/4b7b1533be01
爱乐团 - 放开,https://pan.quark.cn/s/72abb67c20e5
张杰 - 天下,https://pan.quark.cn/s/d74d682b9a4e
五月天 - 知足,https://pan.quark.cn/s/4d880f5f1376
陈慧琳 - 记事本,https://pan.quark.cn/s/508d61a6b075
光良 - 第一次,https://pan.quark.cn/s/5771032ce9f1
江映蓉 - 练习题,https://pan.quark.cn/s/671bc8540c42
Tank - 三国恋,https://pan.quark.cn/s/b7baa387f692
瞿颖 - 加速度,https://pan.quark.cn/s/b27f154ec901
林俊杰 - 醉赤壁,https://pan.quark.cn/s/ccc5159a544f
杨千嬅 - 处处吻,https://pan.quark.cn/s/a1ddebac061c
Sara/刘佳 - 爱很美,https://pan.quark.cn/s/54886f7ddaab
梦飞船 - 不值得,https://pan.quark.cn/s/c0f2c43d22de
王蓝茵 - 恶作剧,https://pan.quark.cn/s/e5acb455d3b8
至上励合 - 棉花糖,
邱永传 - 十一年,https://pan.quark.cn/s/3ca168fa788e
唐磊 - 丁香花,https://pan.quark.cn/s/98c568be5aab
李圣杰 - 手放开,https://pan.quark.cn/s/4993e7b728f2
阿里郎 - 兰花指,https://pan.quark.cn/s/b3752274a32c
陈慧琳 - 花花宇宙,https://pan.quark.cn/s/c93edf6165b4
羽·泉 - 冷酷到底,https://pan.quark.cn/s/4767e01bb8eb
张柏芝 - 星语心愿,https://pan.quark.cn/s/ddd37f2b0a4a
王蓉 - 爸爸妈妈,https://pan.quark.cn/s/11ed7f9c71fe
张宇 - 雨一直下,https://pan.quark.cn/s/5c333710cdcb
神木与瞳 - 为你而活,https://pan.quark.cn/s/afb3b5b184c8
朱铭捷 - 曾经最美,https://pan.quark.cn/s/301a4a5020ca
张信哲 - 爱如潮水,https://pan.quark.cn/s/eaf90f8469d8
孙燕姿 - 开始懂了,https://pan.quark.cn/s/91a619746f4b
林宥嘉 - 残酷月光,https://pan.quark.cn/s/35e169082b2e
吴克群 - 为你写诗,https://pan.quark.cn/s/ccf989b2acce
苏打绿 - 我好想你,https://pan.quark.cn/s/127ee5781e2a
王力宏 - 需要人陪,https://pan.quark.cn/s/540e46578fdc
宇桐非/胡雯 - 擦肩而过,https://pan.quark.cn/s/23dbe9b5727d
许嵩 - 灰色头像,https://pan.quark.cn/s/a89f5476e41e
李圣杰 - 痴心绝对,https://pan.quark.cn/s/123ed5cef79b
江语晨 - 最后一页,https://pan.quark.cn/s/b2bbdf907a20
薛之谦 - 认真的雪,https://pan.quark.cn/s/fcf617f0c5c6
关喆 - 想你的夜,https://pan.quark.cn/s/48e9f0c36224
易欣 - 你的选择,https://pan.quark.cn/s/7197c065824f
萧敬腾 - 新不了情,https://pan.quark.cn/s/532db3c79653
陈奕迅 - 好久不见,https://pan.quark.cn/s/0fc04777aec4
By2 - 爱丫爱丫,https://pan.quark.cn/s/aa84ef2325b0
林志炫 - 单身情歌,https://pan.quark.cn/s/38885c369730
毛阿敏 - 同一首歌,https://pan.quark.cn/s/72a399ac179e
徐良/汪苏泷 - 后会无期,https://pan.quark.cn/s/1c5e750360c5
卢巧音/王力宏 - 好心分手,https://pan.quark.cn/s/16bc7ecf8157
莫文蔚 - 他不爱我,https://pan.quark.cn/s/ddd3f2fe1ed8
游鸿明 - 白色恋人,https://pan.quark.cn/s/13cab13b1cf7
陈小春 - 独家记忆,https://pan.quark.cn/s/672bc6db06a5
徐佳莹 - 失落沙洲,https://pan.quark.cn/s/daed766e5c3b
陈小春 - 没那种命,https://pan.quark.cn/s/78d60a92efea
金莎 - 星月神话,https://pan.quark.cn/s/3ca145113ac0
美美jocie - 不怕不怕,https://pan.quark.cn/s/5c13c789bc50
F.I.R. - 我们的爱,
S.H.E - Super Star,https://pan.quark.cn/s/af2a20f5dc18
许飞 - 我要的飞翔,https://pan.quark.cn/s/81144e731e0e
任贤齐 - 伤心太平洋,https://pan.quark.cn/s/01b95dbae844
伍佰 & China Blue - 挪威的森林,https://pan.quark.cn/s/ea44fe4e3c7c
阿桑 - 寂寞在唱歌,https://pan.quark.cn/s/1fbe60b86437
刘若英 - 很爱很爱你,https://pan.quark.cn/s/b0ba28442096
安琥 - 天使的翅膀,https://pan.quark.cn/s/21abb4b3d3ce
孙楠 - 留什么给你,
欧得洋 - 孤单北半球,https://pan.quark.cn/s/7b90fa6c6929
张敬轩 - 吻得太逼真 (国),
莫文蔚 - 盛夏的果实,https://pan.quark.cn/s/48c24f8d71ac
蔡健雅 - 红色高跟鞋,https://pan.quark.cn/s/4eddb5742444
杨千嬅 - 少女的祈祷,https://pan.quark.cn/s/f5821a8483ca
萧潇 - 爱要坦荡荡,
田一龙 - 一定要爱你(网络版),https://pan.quark.cn/s/df5a076bb3ab
萧敬腾 - 会痛的石头,https://pan.quark.cn/s/eed225d5330c
张杰 - 我们都一样,https://pan.quark.cn/s/569a2535a08f
陈明 - 我要找到你,https://pan.quark.cn/s/009dce27bfb9
南宫嘉骏/姜玉阳 - 回忆总想哭,https://pan.quark.cn/s/47fb79dd6668
胜屿 - 该死的懦弱,https://pan.quark.cn/s/0a194ea21f33
王强 - 秋天不回来,https://pan.quark.cn/s/c7718185772a
杨臣刚 - 老鼠爱大米,https://pan.quark.cn/s/067984770bc0
张韶涵 - 隐形的翅膀 (Live),https://pan.quark.cn/s/317a6ff196bb
信乐团 - 死了都要爱,https://pan.quark.cn/s/e19198f6c3ca
李慧珍 - 爱死了昨天,https://pan.quark.cn/s/ae44586c7902
萧煌奇 - 你是我的眼,https://pan.quark.cn/s/8cd9fce70af9
Sara - 我的心好冷,https://pan.quark.cn/s/fb74b1fbc076
程响 - 新娘不是我,https://pan.quark.cn/s/196add6bda5b
群星 - 爱情惹的祸,
李圣杰 - 你那么爱她,https://pan.quark.cn/s/b1675e41f4ef
张宇 - 月亮惹的祸,https://pan.quark.cn/s/5fa5dcaf4ff2
黄小琥 - 没那么简单,https://pan.quark.cn/s/6e4dcc457ef0
谭咏麟 - 披着羊皮的狼,https://pan.quark.cn/s/1e475517edc4
王鹤铮 - 爱我就跟我走,https://pan.quark.cn/s/324d7313bd9b
萧风 - 贝多芬的悲伤,https://pan.quark.cn/s/f79a11e3cb29
宇桐非 - 感动天感动地,https://pan.quark.cn/s/be384f9d24e7
阿杜 - 他一定很爱你,https://pan.quark.cn/s/668e20ef18fe
王力宏 - 你不知道的事,https://pan.quark.cn/s/380de75506ab
黄义达 - 那女孩对我说,https://pan.quark.cn/s/91e56f80f3b4
许嵩 - 玫瑰花的葬礼,
汪苏泷 - 不分手的恋爱,https://pan.quark.cn/s/e39c3755edd1
杨培安 - 爱上你是一个错,https://pan.quark.cn/s/f418180c6f63
周深 - 漂洋过海来看你,
李昊瀚 - 分开不一定分手,https://pan.quark.cn/s/02c0c5b27d0f
张振宇 - 不要再来伤害我,https://pan.quark.cn/s/2ccdafb9f609
萧亚轩 - 最熟悉的陌生人,https://pan.quark.cn/s/32c3d07671c2
张学友 - 如果这都不算爱,https://pan.quark.cn/s/0dd973b458b9
陈楚生 - 有没有人告诉你,
迪克牛仔 - 有多少爱可以重来,https://pan.quark.cn/s/dc809054936c
冷漠 - 错过了缘分错过你,https://pan.quark.cn/s/7fd2964218bd
刀郎 - 2002年的第一场雪,https://pan.quark.cn/s/f5e99d2e24f0
张韶涵 - 亲爱的那不是爱情 (Live),https://pan.quark.cn/s/5fa59def82c5
阿木 - 有一种爱叫做放手,https://pan.quark.cn/s/93193c65a944
李昊瀚 - 如果爱能早些说出来,https://pan.quark.cn/s/9a1b859f13e5
雷诺儿 - 别在我离开之前离开,https://pan.quark.cn/s/1c050233328c
张栋梁 - 当你孤单你会想起谁,https://pan.quark.cn/s/011ab8c60b50
郑源 - 当我孤独的时候还可以抱着你,https://pan.quark.cn/s/78141c9a09e1
马郁 - 下辈子如果我还记得你,
群星 - 一个人的寂寞两个人的错,
周华健 - 有没有一首歌会让你想起我,https://pan.quark.cn/s/59ca41a91f5c
龙井说唱 - 归,https://pan.quark.cn/s/224251fa032b
