song,link
Alan Walker - Faded,https://pan.quark.cn/s/7756f414c8cd
Wiz Khalifa - See You Again,https://pan.quark.cn/s/95402be7c145
Mark Ronson - Uptown Funk,https://pan.quark.cn/s/af2e9cdf3b9a
GALA - Young For You,https://pan.quark.cn/s/be7a02992a15
The Script - Hall of Fame,https://pan.quark.cn/s/8580ce448f45
Train - 50 Ways to Say Goodbye,https://pan.quark.cn/s/0c681a34b8ca
Passenger - Let Her Go,https://pan.quark.cn/s/9b14f3cf5483
Coldplay - Viva La Vida,https://pan.quark.cn/s/e4110ee46dbf
Joel Hanson - Traveling Light,https://pan.quark.cn/s/d37ddd434544
Shane Filan - Beautiful In White,https://pan.quark.cn/s/a7ba2f0cbcd3
Adam Levine - Lost Stars,https://pan.quark.cn/s/ddf46988c2e0
Shakira - Try Everything,https://pan.quark.cn/s/aa57973562b9
A Fine Frenzy - Almost Lover,https://pan.quark.cn/s/18ddbcf93133
The Downtown Fiction - I Just Wanna Run,https://pan.quark.cn/s/471c37d90c6c
Carpenters - Yesterday Once More,https://pan.quark.cn/s/811a874df177
Coldplay - Everglow,https://pan.quark.cn/s/f43e366fa23b
Coldplay - Yellow,https://pan.quark.cn/s/bbfedd5d3da9
James Blunt - You're Beautiful,https://pan.quark.cn/s/ccf87ac55861
Darin - Be What You Wanna Be,https://pan.quark.cn/s/e43458a3c201
Clean Bandit - Rather Be,https://pan.quark.cn/s/9268d8cfe0ab
Ellie Goulding - Love Me Like You Do,https://pan.quark.cn/s/1cc287a3956d
Walk off the Earth - Summer Vibe,https://pan.quark.cn/s/26b3eddc9188
Flo Rida - Whistle,https://pan.quark.cn/s/78710f2b5f9c
Cam Kelley - Sketch Plane,https://pan.quark.cn/s/cd706d46e236
One Direction - What Makes You Beautiful,https://pan.quark.cn/s/a9a8d224e2cf
Lady A - Need You Now,https://pan.quark.cn/s/49ad9d1a2711
Alexander Klaws - Cry On My Shoulder,https://pan.quark.cn/s/7aa6d46d4768
Nightwish - I Want My Tears Back,https://pan.quark.cn/s/1125cd8cec2d
Lovestoned - Bye Bye Bye,https://pan.quark.cn/s/de417cadaa86
Ingrid Michaelson - Everybody,https://pan.quark.cn/s/ac5c97f65df9
Eagles - Hotel California,https://pan.quark.cn/s/fb8c5e5435a8
Asher Monroe - Here With You,https://pan.quark.cn/s/ea6ad2e5d646
Jason Mraz - I'm Yours,https://pan.quark.cn/s/046c5fae5920
Wild Child - Crazy Bird,https://pan.quark.cn/s/7a2391477c81
Groove Coverage - She,https://pan.quark.cn/s/c31c6f344e83
DAISHI DANCE (ダイシ・ダンス) - Take Me Hand,
Diane Birch - Staring at You,https://pan.quark.cn/s/249e1fa386f9
Anthem Lights - Best of 2012: Payphone/Call Me Maybe/Wide Awake/Starship/We Are Young,https://pan.quark.cn/s/8a232c43fddd
Fun. - We Are Young,https://pan.quark.cn/s/c920ace99542
Samantha Jade - Soldier,https://pan.quark.cn/s/276d1cb932a1
Calvin Harris - This Is What You Came For,https://pan.quark.cn/s/28a261919c52
Hozier - Take Me to Church,https://pan.quark.cn/s/7ee2f53ba345
Charli xcx - Boom Clap,https://pan.quark.cn/s/9bdc80652203
Justin Timberlake - CAN'T STOP THE FEELING!,https://pan.quark.cn/s/603969194291
John Legend - All of Me,https://pan.quark.cn/s/b5a0050abcb9
Owl City - The Saltwater Room,https://pan.quark.cn/s/979a01cfed55
The Weepies - Gotta Have You,https://pan.quark.cn/s/bfd9c3a17667
Michael Learns To Rock - Take Me to Your Heart,https://pan.quark.cn/s/791ee16f03e4
Bethel Music - It Is Well,https://pan.quark.cn/s/89f5ae9a6fa7
Joan Jett & The Blackhearts - I Hate Myself for Loving You,https://pan.quark.cn/s/f888940e8af9
Gotye - Somebody That I Used to Know,https://pan.quark.cn/s/561bcf69c64a
Shayne Ward - Until You,https://pan.quark.cn/s/e06c35047412
The Rescues - Can't Stand The Rain,https://pan.quark.cn/s/328049dfbbd9
Fifth Harmony - Worth It,https://pan.quark.cn/s/c84639043b87
Coldplay - Adventure Of A Lifetime,https://pan.quark.cn/s/c0231d93c1d3
Ed Sheeran - Thinking Out Loud,https://pan.quark.cn/s/06c88f29794c
P!NK - Just Give Me a Reason,https://pan.quark.cn/s/48d5e3d99840
Lou Bega - Angelina,https://pan.quark.cn/s/4e87f9826623
Céline Dion - My Heart Will Go On,https://pan.quark.cn/s/1d6670999e4b
Ashes Remain - On My Own,https://pan.quark.cn/s/0858da785eca
Ina Wroldsen - I Wanted You,https://pan.quark.cn/s/d03984e72116
Project 46 - Forgettable,https://pan.quark.cn/s/4b275e36b87e
Charlie Puth - We Don't Talk Anymore,https://pan.quark.cn/s/4cda1ab76c0e
Robin Thicke - Blurred Lines,https://pan.quark.cn/s/9e6bd316e38f
Bruno Mars - Marry You,https://pan.quark.cn/s/b96333e1d9c2
Hannah Georgas - Shortie,
Ingrid Michaelson - Time Machine,https://pan.quark.cn/s/9dcae14c47c0
Baha Men - Who Let The Dogs Out,https://pan.quark.cn/s/737dbca0ddcc
Darren Hayes - Creepin' up on You,https://pan.quark.cn/s/dba8caee5574
Charlie Puth - Look At Me Now,https://pan.quark.cn/s/fc6186997cea
Bruno Mars - Lighters,https://pan.quark.cn/s/d3609bf6b661
American Authors - Best Day Of My Life,https://pan.quark.cn/s/1e264469e0db
Bruno Mars - Just the Way You Are,https://pan.quark.cn/s/a8dc45b6b10e
Angie Miller - This Is the Life,https://pan.quark.cn/s/346ddc0a5009
Modern Talking - Brother Louie,https://pan.quark.cn/s/780d92e92232
Five for Fighting - Tuesday,https://pan.quark.cn/s/f16874814702
Major Lazer - Lean On,https://pan.quark.cn/s/ffaf92eb88d6
Westlife - Nothing's Going to Change My Love For You,https://pan.quark.cn/s/19e6f4b1d55c
Megan & Liz - Closer To Me,https://pan.quark.cn/s/88106b87faaf
Russian Red - Fuerteventura,https://pan.quark.cn/s/b3883878c8f9
Charlie Puth - Marvin Gaye,https://pan.quark.cn/s/8411e45f1035
Westlife - My Love,https://pan.quark.cn/s/123a26241f34
Blue - U Make Me Wanna,https://pan.quark.cn/s/0bcca7d6de33
Kelly Clarkson - Stronger (What Doesn't Kill You),https://pan.quark.cn/s/4b75917f3094
Groove Coverage - Far Away From Home,https://pan.quark.cn/s/eff786f5080f
Bon Jovi - It's My Life,https://pan.quark.cn/s/ce9aaf9b5755
Linkin Park - Numb,https://pan.quark.cn/s/708f06319de6
Sam Smith - I'm Not The Only One,
Gavin DeGraw - Fire,https://pan.quark.cn/s/c18cd6b5745c
Daniel Powter - Free Loop,https://pan.quark.cn/s/faf5ba978b4b
