song,link
周杰伦 - 可爱女人,https://pan.quark.cn/s/57971f416234
孙燕姿 - 天黑黑,https://pan.quark.cn/s/d2f8bc689d99
林俊杰 - 就是我,https://pan.quark.cn/s/563e1196768b
李圣杰 - 痴心绝对,https://pan.quark.cn/s/123ed5cef79b
江得胜 - 风云,https://pan.quark.cn/s/b7bf5c3ad715
蔡依林 - 我知道你很难过,https://pan.quark.cn/s/bac5ca3a9b25
陈冠蒲 - 太多,https://pan.quark.cn/s/21d2c56dfb4c
朱铭捷 - 曾经最美,https://pan.quark.cn/s/301a4a5020ca
罗百吉 - 摩天轮,https://pan.quark.cn/s/9abdb519062a
萧亚轩 - 爱的主打歌,https://pan.quark.cn/s/91cad0591df0
黎明 - 两个人的烟火,https://pan.quark.cn/s/20c7543d6026
可米小子 - 求爱复刻版,https://pan.quark.cn/s/51a9f9400971
S.H.E - 恋人未满,https://pan.quark.cn/s/05b0e1eecea2
4 In Love - 一千零一个愿望,https://pan.quark.cn/s/4d5fea765ce9
王心凌 - 当你,https://pan.quark.cn/s/ad49c73ef195
陶喆 - 黑色柳丁,https://pan.quark.cn/s/4f9bf03b226c
5566 - 我难过,https://pan.quark.cn/s/0024fcb77600
侯湘婷 - 暧昧,https://pan.quark.cn/s/3d0fb1027393
花儿乐队 - 我是你的罗密欧,https://pan.quark.cn/s/d3ada2f80705
徐怀钰 - 分飞,https://pan.quark.cn/s/bcfeca7c4407
任贤齐 - 天涯,https://pan.quark.cn/s/3b5b87cdcb9c
吴克群 - 大舌头,https://pan.quark.cn/s/bb9a23607da8
羽泉 - 深呼吸,https://pan.quark.cn/s/267bc165fdce
陈明 - 我要找到你,https://pan.quark.cn/s/009dce27bfb9
许绍洋 - 花香,https://pan.quark.cn/s/8b115b8f0dc1
瞿颖 - 加速度,https://pan.quark.cn/s/b27f154ec901
郭富城 - 动起来,https://pan.quark.cn/s/9c8e8dd58045
陆毅 - 壮志雄心,https://pan.quark.cn/s/a9abc3051ed8
李智楠 - 红色石头,https://pan.quark.cn/s/f88d4c7a6750
芭比 - 触电,https://pan.quark.cn/s/b98c5f908e84
王启文 - 老鼠爱大米,https://pan.quark.cn/s/cb3de83a273e
张国荣 - 我,https://pan.quark.cn/s/bdaec062d4fe
张学友 - 如果这都不算爱,https://pan.quark.cn/s/0dd973b458b9
本多Ruru - 美丽心情,https://pan.quark.cn/s/1cda459d7337
庞龙 - 杯水情歌,https://pan.quark.cn/s/2fb8252123d2
温岚 - 夏天的风,https://pan.quark.cn/s/2faf1ec4973c
王菲 - 笑忘书,https://pan.quark.cn/s/a8ea3425bffc
许巍 - 蓝莲花,https://pan.quark.cn/s/6f601f9a2186
孙楠 - 只要有你,
永邦 - 威尼斯的泪,https://pan.quark.cn/s/a3d598b982f4
张信哲 - 爱就一个字,https://pan.quark.cn/s/d31d364f7d93
梁静茹 - 勇气,https://pan.quark.cn/s/7ef6718fa97c
