song,link
Darin - Be What You Wanna Be,https://pan.quark.cn/s/e43458a3c201
MC梦 (MC몽) - 죽을 만큼 아파서,https://pan.quark.cn/s/5101968576de
Lollipop - Batte forte,https://pan.quark.cn/s/74a30939b3d9
Aqua - Barbie Girl,https://pan.quark.cn/s/53041e731558
高耀太 (코요태) - 불꽃,https://pan.quark.cn/s/f47ea2910f3d
t.A.T.u. - Loves Me Not,https://pan.quark.cn/s/0490f90d4ae2
许嵩 - 有何不可,https://pan.quark.cn/s/9826b6d82388
Inez - Stronger,https://pan.quark.cn/s/99cdd8bad084
F.I.R.飞儿乐团 - 我们的爱,https://pan.quark.cn/s/d19c696bd671
欧得洋 - 孤单北半球,https://pan.quark.cn/s/7b90fa6c6929
郑源 - 一万个理由,https://pan.quark.cn/s/81aa536cd880
东来东往 - 别说我的眼泪你无所谓,https://pan.quark.cn/s/58a1fb675ab3
Jennifer Lopez - On The Floor,https://pan.quark.cn/s/4a18bc3bba1d
Usher - Yeah,https://pan.quark.cn/s/8dd2c309a8b6
Kelly Clarkson - Because of You,https://pan.quark.cn/s/9e85e0f1c507
Nightwish - She Is My Sin,https://pan.quark.cn/s/de7c4c276da4
M2M - The Day You Went Away,https://pan.quark.cn/s/d2d30a02b77e
Sarah Connor - Just One Last Dance,https://pan.quark.cn/s/98c12e287e7f
Darren Hayes - Creepin' up on You,https://pan.quark.cn/s/dba8caee5574
Groove Coverage - Far Away from Home,https://pan.quark.cn/s/eff786f5080f
M2M - Pretty Boy,https://pan.quark.cn/s/3a9d1f6d0053
张芸京 - 偏爱,https://pan.quark.cn/s/9b7760c5f9e2
张栋梁 - 当你孤单你会想起谁,https://pan.quark.cn/s/011ab8c60b50
郑毅 - 贝多芬的悲伤,https://pan.quark.cn/s/ed09ff703428
Avril Lavigne - Girlfriend,https://pan.quark.cn/s/392b22220d5c
Emilia Rydberg - Big Big World,https://pan.quark.cn/s/f8b0fd46d699
许嵩 - 城府,https://pan.quark.cn/s/1e210597b86f
陈旭 - 哥只是个传说,https://pan.quark.cn/s/95c4288697ec
Lenka - The Show,https://pan.quark.cn/s/908b9de78852
徐誉滕 - 等一分钟,https://pan.quark.cn/s/cbf5ac358aaf
潘玮柏 - 快乐崇拜,https://pan.quark.cn/s/3bf4150b8497
许嵩 - 断桥残雪,https://pan.quark.cn/s/b58beefcf09c
许嵩 - 灰色头像,https://pan.quark.cn/s/a89f5476e41e
Sara Nussara Pungprasert - เจอกับตัวเอง...ถึงรู้,https://pan.quark.cn/s/2a0fbcefeb4e
海鸣威 - 老人与海,https://pan.quark.cn/s/17106701c08a
冯曦妤 - Proud Of You,https://pan.quark.cn/s/903d39b8d494
Nana - Lonely,https://pan.quark.cn/s/0ee2a10cc047
Lenka - Trouble Is A Friend,https://pan.quark.cn/s/41f0a2a100e0
Ultradance - Dragostea Din Tei,https://pan.quark.cn/s/0c0479d63d06
许嵩 - 素颜,https://pan.quark.cn/s/488f76f59dad
Gelato - Penguin'S Game,https://pan.quark.cn/s/04e2138394fa
SMiLE.dk - Golden Sky,https://pan.quark.cn/s/2a75c6822a80
Groove Coverage - She,https://pan.quark.cn/s/c31c6f344e83
卓亚君 - Lolita,https://pan.quark.cn/s/d0fb3796bd62
Befour - HowDoYouDo?,https://pan.quark.cn/s/909542ceebac
DJ Carpi - The Power Of Pleasure,https://pan.quark.cn/s/90bc013aec34
Tragédie - Hey Oh,https://pan.quark.cn/s/0f910fcc1dae
July (줄라이) - My Soul,
伊莲 (Hélène Rollès) - Je m'appelle Hélène,https://pan.quark.cn/s/3b75ec7939ca
Maria Arredondo - Burning,https://pan.quark.cn/s/77ef48da8ec9
Deutschland Sucht Den Superstar - Cry on My Shoulder,https://pan.quark.cn/s/fcdd6155ea61
John The Whistler - Wild Wild Web,https://pan.quark.cn/s/a8466f0578f0
罗百吉 - I Miss You,https://pan.quark.cn/s/273fcabe3792
Mario & Nesty (마리오&네스티) - Never Say Good Bye,
Backstreet Boys - As Long as You Love Me,https://pan.quark.cn/s/422410f09808
Git Fresh - Booty Music,https://pan.quark.cn/s/6834b0214110
沈千琦 - 感动天感动地,
Baracuda - I Leave The World Today - Video Mix,
许嵩 - 玫瑰花的葬礼,https://pan.quark.cn/s/fb1497b41198
Groove Coverage - God Is A Girl,https://pan.quark.cn/s/0bbf8e9cb932
Sweetbox - Don't Push Me,https://pan.quark.cn/s/89aa9488f1f3
徐良 - 红装,https://pan.quark.cn/s/58eaa50736c8
Sweety - 樱花草,https://pan.quark.cn/s/7730bdd3df8d
马天宇 - 该死的温柔,https://pan.quark.cn/s/0b9f370f4fa8
袁成杰 - 外滩十八号,https://pan.quark.cn/s/20e618629452
王强 - 秋天不回来,https://pan.quark.cn/s/c7718185772a
顾峰 - 犯错,https://pan.quark.cn/s/fa7a19bda797
李霄云 - 你看到的我是蓝色的,https://pan.quark.cn/s/24679ac8c3e7
张杰 - 最美的太阳,https://pan.quark.cn/s/1c1ad7730c1a
陈旭 - 边做边爱,https://pan.quark.cn/s/da832a2c7811
