song,link
水木年华 - 四方,https://pan.quark.cn/s/7dd52fd41e4e
A.临渊 - 让我欢喜让我忧,https://pan.quark.cn/s/b23ed6f3e689
虎二 - 你一定要幸福,https://pan.quark.cn/s/b5d387bf3008
七哼Qhyung - Dancing With Your Ghost,
沈以诚 - 难舍难分,https://pan.quark.cn/s/c98b833e13c9
水木年华 - 启程(Live),https://pan.quark.cn/s/1171e6b60552
许巍 - 蓝莲花,https://pan.quark.cn/s/6f601f9a2186
程响 - 可能,https://pan.quark.cn/s/585282633750
孙露 - 小小的太陽,https://pan.quark.cn/s/596205b0e63c
蓝兰 - 最远的你是我最近的爱,https://pan.quark.cn/s/99f935351680
阿梨粤 - 晚风心里吹,https://pan.quark.cn/s/04154fd808e8
伍佰 & China Blue - 突然的自我,https://pan.quark.cn/s/ea44fe4e3c7c
海来啊木 - 过路的晚风,https://pan.quark.cn/s/ee95ca501d2d
许巍 - 曾经的你,
杨千嬅 - 野孩子,https://pan.quark.cn/s/17d480587376
郑中基 - 无赖,https://pan.quark.cn/s/1ab5c9596a4d
杨晚晚 - 烟雨唱扬州,
曾抖抖 - 平凡日子里的挣扎,https://pan.quark.cn/s/0c247939ad7e
叶蒨文 - 爱的可能,https://pan.quark.cn/s/26462bec7b00
谭咏麟 - 讲不出再见,https://pan.quark.cn/s/8a07d66fcc47
张国荣 - 倩女幽魂,https://pan.quark.cn/s/6b6820f3b479
张与桐（阿细） - 野孩子,https://pan.quark.cn/s/1e81370df62c
王杰 - 安妮,https://pan.quark.cn/s/e3f981845caf
梦涵 - 风的季节,https://pan.quark.cn/s/68eec702b38a
杨宗纬 - 红尘来去一场梦,https://pan.quark.cn/s/e7b1b003b486
卢巧音/王力宏 - 好心分手,https://pan.quark.cn/s/16bc7ecf8157
马丹妮丫蛋蛋 - 漫步人生路 (原唱：邓丽君),https://pan.quark.cn/s/be1cc14f1215
刘若英 - 当爱在靠近,https://pan.quark.cn/s/b22d2a0754b4
罗文/甄妮 - 铁血丹心,https://pan.quark.cn/s/be556e0617dc
水木年华 - 一生有你,https://pan.quark.cn/s/cc37bf45dc77
李克勤 - 一生不变,https://pan.quark.cn/s/9f77813c46ca
深海鱼子酱 - 千千万万,https://pan.quark.cn/s/f7dd825e2e09
李丽芬 - 爱江山更爱美人,https://pan.quark.cn/s/ca6014e4ed36
李克勤 - 月半小夜曲,https://pan.quark.cn/s/cb54518d54ad
草蜢 - 失恋阵线联盟,https://pan.quark.cn/s/5c25b0f0e187
周华健 - 其实不想走,https://pan.quark.cn/s/56b357ae4309
许冠杰 - 天才白痴梦,https://pan.quark.cn/s/9ef19e8737b7
是二智呀 - MOM,https://pan.quark.cn/s/1f5c6fe4e89d
罗京民 - 光明,https://pan.quark.cn/s/eea4af5510a0
广东雨神 - 不下雪的广东,https://pan.quark.cn/s/90fcab2c5336
樊桐舟 - 别哭我的爱人,https://pan.quark.cn/s/e51ee736b9aa
苏有朋 - 珍惜,https://pan.quark.cn/s/aca5ca8041de
Enrique Iglesias - Hero,https://pan.quark.cn/s/fdb1ac5ee881
夏小虎 - 么么,https://pan.quark.cn/s/ac4c04a528b3
张信哲 - 别怕我伤心,https://pan.quark.cn/s/51022bbdf3c1
张学友 - 如果这都不算爱,https://pan.quark.cn/s/0dd973b458b9
刘德华 - 练习,https://pan.quark.cn/s/3001ddd1afcd
张雨生 - 大海,https://pan.quark.cn/s/e82f444c6254
谭维维 - 如果有来生,https://pan.quark.cn/s/4d264e111a57
张杰 - 这，就是爱,https://pan.quark.cn/s/5c621fd61124
王菲 - 容易受伤的女人,https://pan.quark.cn/s/9863cc53d119
张国荣 - 倩女幽魂,https://pan.quark.cn/s/6b6820f3b479
蔡依林/周杰伦 - 布拉格广场,https://pan.quark.cn/s/b02edb4cdeda
谢东 - 笑脸,
陈百强 - 偏偏喜欢你,https://pan.quark.cn/s/b8fb586d281f
陈奕迅 - 单车(Live),https://pan.quark.cn/s/84d682e18154
许冠杰 - 沧海一声笑,https://pan.quark.cn/s/ff7f22cd0152
彭羚/王力宏 - 让我取暖,https://pan.quark.cn/s/01445d3ea4ee
顾西奇 - if（翻自 丁可）,https://pan.quark.cn/s/b0956c880ff4
甘萍 - 潮湿的心,https://pan.quark.cn/s/4c189cc24d84
孙伯纶/曹芙嘉 - 被动,
Westlife - That's Where You Find Love,https://pan.quark.cn/s/f947a89c70b0
